id_talent_req,nama_posisi,company_name,backlog_headcount,nim,program_studi,semester,match_score
TR029,Research Assistant,CV Mega Sentosa,1,20200620,Farmasi,7,70.0
TR029,Research Assistant,CV Mega Sentosa,1,20211224,Farmasi,5,70.0
TR029,Research Assistant,CV Mega Sentosa,1,20221315,Statistika,5,70.0
TR029,Research Assistant,CV Mega Sentosa,1,20221457,Statistika,5,70.0
TR030,Compliance Officer Intern,PT Nusa Terapan,2,20210074,Ilmu Hukum,7,70.0
TR030,Compliance Officer Intern,PT Nusa Terapan,2,20210147,Ilmu Hukum,6,70.0
TR030,Compliance Officer Intern,PT Nusa Terapan,2,20210173,Akuntansi,7,70.0
TR030,Compliance Officer Intern,PT Nusa Terapan,2,20210183,Akuntansi,7,70.0
TR030,Compliance Officer Intern,PT Nusa Terapan,2,20210353,Ilmu Hukum,5,70.0
TR033,Data Analyst,CV Bakti Perkasa,1,20210224,Statistika,5,88.0
TR033,Data Analyst,CV Bakti Perkasa,1,20201858,Statistika,9,88.0
TR033,Data Analyst,CV Bakti Perkasa,1,20214430,Statistika,6,88.0
TR033,Data Analyst,CV Bakti Perkasa,1,202110710,Statistika,6,88.0
TR033,Data Analyst,CV Bakti Perkasa,1,202011195,Statistika,7,88.0
TR034,Store Supervisor Intern,CV Sinergi Utama,1,20210411,Manajemen,5,70.0
TR034,Store Supervisor Intern,CV Sinergi Utama,1,20220445,Manajemen,5,70.0
TR034,Store Supervisor Intern,CV Sinergi Utama,1,20203749,Manajemen,7,70.0
TR034,Store Supervisor Intern,CV Sinergi Utama,1,20228018,Manajemen,5,70.0
TR034,Store Supervisor Intern,CV Sinergi Utama,1,20228188,Manajemen,4,70.0
TR035,IT Support,PT Jaya Makmur,3,20200131,Informatika,7,70.0
TR035,IT Support,PT Jaya Makmur,3,20190245,Informatika,9,70.0
TR035,IT Support,PT Jaya Makmur,3,20210249,Pendidikan Teknik Informatika,7,70.0
TR035,IT Support,PT Jaya Makmur,3,20220305,Informatika,5,70.0
TR035,IT Support,PT Jaya Makmur,3,20210310,Pendidikan Teknik Informatika,5,70.0
TR036,HR Intern,PT Sejahtera Informatika,1,20210885,Manajemen,6,70.0
TR036,HR Intern,PT Sejahtera Informatika,1,20211235,Manajemen,6,70.0
TR036,HR Intern,PT Sejahtera Informatika,1,20211450,Psikologi,6,70.0
TR036,HR Intern,PT Sejahtera Informatika,1,20211884,Manajemen,6,70.0
TR036,HR Intern,PT Sejahtera Informatika,1,20202666,Psikologi,8,70.0
TR037,Agricultural Engineer Intern,PT Solusi Global,1,20202139,Agroteknologi,9,70.0
TR037,Agricultural Engineer Intern,PT Solusi Global,1,20203672,Agroteknologi,9,70.0
TR037,Agricultural Engineer Intern,PT Solusi Global,1,20204422,Agroteknologi,8,70.0
TR037,Agricultural Engineer Intern,PT Solusi Global,1,20204946,Agroteknologi,7,70.0
TR037,Agricultural Engineer Intern,PT Solusi Global,1,20204974,Agroteknologi,8,70.0
TR038,Supply Chain Analyst,CV Esa Global,1,20210265,Teknik Industri,7,100.0
TR038,Supply Chain Analyst,CV Esa Global,1,20201362,Teknik Industri,7,100.0
TR038,Supply Chain Analyst,CV Esa Global,1,20212117,Sistem Informasi,6,100.0
TR038,Supply Chain Analyst,CV Esa Global,1,20212850,Teknik Industri,7,100.0
TR038,Supply Chain Analyst,CV Esa Global,1,20203233,Teknik Industri,9,100.0
TR039,Risk Analyst,PT Sejahtera Kreatif,1,20209832,Statistika,7,100.0
TR039,Risk Analyst,PT Sejahtera Kreatif,1,20221457,Statistika,5,90.0
TR039,Risk Analyst,PT Sejahtera Kreatif,1,20221541,Statistika,4,90.0
TR039,Risk Analyst,PT Sejahtera Kreatif,1,20193988,Statistika,11,90.0
TR039,Risk Analyst,PT Sejahtera Kreatif,1,20214568,Statistika,7,90.0
TR040,Content Writer,PT Bakti Analitika,2,20200679,Sastra Inggris,9,70.0
TR040,Content Writer,PT Bakti Analitika,2,20191461,Ilmu Komunikasi,11,70.0
TR040,Content Writer,PT Bakti Analitika,2,20201583,Ilmu Komunikasi,9,70.0
TR040,Content Writer,PT Bakti Analitika,2,20192608,Ilmu Komunikasi,9,70.0
TR040,Content Writer,PT Bakti Analitika,2,20212862,Ilmu Komunikasi,7,70.0
TR041,Underwriting Intern,PT Inovasi Gemilang,2,20220149,Akuntansi,4,70.0
TR041,Underwriting Intern,PT Inovasi Gemilang,2,20210173,Akuntansi,7,70.0
TR041,Underwriting Intern,PT Inovasi Gemilang,2,20210183,Akuntansi,7,70.0
TR041,Underwriting Intern,PT Inovasi Gemilang,2,20220374,Akuntansi,5,70.0
TR041,Underwriting Intern,PT Inovasi Gemilang,2,20210406,Akuntansi,7,70.0
TR042,Drafter,CV Inovasi Informatika,1,20220205,Teknik Mesin,4,70.0
TR042,Drafter,CV Inovasi Informatika,1,20210304,Teknik Mesin,5,70.0
TR042,Drafter,CV Inovasi Informatika,1,20220382,Teknik Sipil,4,70.0
TR042,Drafter,CV Inovasi Informatika,1,20210492,Teknik Sipil,5,70.0
TR042,Drafter,CV Inovasi Informatika,1,20200670,Teknik Mesin,7,70.0
TR043,Network Engineer Intern,PT Techno Cerdas,1,20200131,Informatika,7,70.0
TR043,Network Engineer Intern,PT Techno Cerdas,1,20190245,Informatika,9,70.0
TR043,Network Engineer Intern,PT Techno Cerdas,1,20220305,Informatika,5,70.0
TR043,Network Engineer Intern,PT Techno Cerdas,1,20210944,Informatika,6,70.0
TR043,Network Engineer Intern,PT Techno Cerdas,1,20211021,Informatika,7,70.0
TR044,Visual Merchandiser Intern,PT Sentosa Mandiri,1,20210190,Desain Komunikasi Visual,6,70.0
TR044,Visual Merchandiser Intern,PT Sentosa Mandiri,1,20211108,Desain Komunikasi Visual,6,70.0
TR044,Visual Merchandiser Intern,PT Sentosa Mandiri,1,20221115,Desain Komunikasi Visual,4,70.0
TR044,Visual Merchandiser Intern,PT Sentosa Mandiri,1,20221549,Desain Komunikasi Visual,5,70.0
TR044,Visual Merchandiser Intern,PT Sentosa Mandiri,1,20211562,Desain Komunikasi Visual,6,70.0
TR045,IT Support,PT Bangkit Informatika,2,20210158,Informatika,5,70.0
TR045,IT Support,PT Bangkit Informatika,2,20210338,Pendidikan Teknik Informatika,6,70.0
TR045,IT Support,PT Bangkit Informatika,2,20210378,Informatika,6,70.0
TR045,IT Support,PT Bangkit Informatika,2,20200418,Pendidikan Teknik Informatika,7,70.0
TR045,IT Support,PT Bangkit Informatika,2,20200472,Pendidikan Teknik Informatika,7,70.0
TR046,Supply Chain Analyst,PT Bangkit Global,1,20190191,Manajemen,11,100.0
TR046,Supply Chain Analyst,PT Bangkit Global,1,20200206,Manajemen,9,100.0
TR046,Supply Chain Analyst,PT Bangkit Global,1,20210342,Sistem Informasi,5,100.0
TR046,Supply Chain Analyst,PT Bangkit Global,1,20222435,Manajemen,5,100.0
TR046,Supply Chain Analyst,PT Bangkit Global,1,20212646,Sistem Informasi,6,100.0
TR047,Data Analyst,PT Mandiri Global,2,20212472,Manajemen,7,82.0
TR047,Data Analyst,PT Mandiri Global,2,202112062,Manajemen,6,82.0
TR047,Data Analyst,PT Mandiri Global,2,201916686,Informatika,11,82.0
TR047,Data Analyst,PT Mandiri Global,2,20200131,Informatika,7,76.0
TR047,Data Analyst,PT Mandiri Global,2,20200206,Manajemen,9,76.0
TR048,Data Analyst,PT Media Informatika,2,20215801,Statistika,7,94.0
TR048,Data Analyst,PT Media Informatika,2,20228936,Statistika,5,94.0
TR048,Data Analyst,PT Media Informatika,2,202110494,Statistika,7,94.0
TR048,Data Analyst,PT Media Informatika,2,202114287,Statistika,6,94.0
TR048,Data Analyst,PT Media Informatika,2,20212648,Statistika,5,88.0
TR049,Quality Control Staff,CV Cakra Media,2,20200059,Farmasi,9,70.0
TR049,Quality Control Staff,CV Cakra Media,2,20220083,Agroteknologi,4,70.0
TR049,Quality Control Staff,CV Cakra Media,2,20200620,Farmasi,7,70.0
TR049,Quality Control Staff,CV Cakra Media,2,20211065,Agroteknologi,6,70.0
TR049,Quality Control Staff,CV Cakra Media,2,20211224,Farmasi,5,70.0
TR050,Marketing Intern,CV Kreasi Karya,2,20191461,Ilmu Komunikasi,11,70.0
TR050,Marketing Intern,CV Kreasi Karya,2,20201583,Ilmu Komunikasi,9,70.0
TR050,Marketing Intern,CV Kreasi Karya,2,20192608,Ilmu Komunikasi,9,70.0
TR050,Marketing Intern,CV Kreasi Karya,2,20212862,Ilmu Komunikasi,7,70.0
TR050,Marketing Intern,CV Kreasi Karya,2,20213216,Manajemen,7,70.0
TR051,Business Development Intern,CV Karya Abadi,4,20200116,Ekonomi Pembangunan,9,70.0
TR051,Business Development Intern,CV Karya Abadi,4,20220358,Ekonomi Pembangunan,5,70.0
TR051,Business Development Intern,CV Karya Abadi,4,20210885,Manajemen,6,70.0
TR051,Business Development Intern,CV Karya Abadi,4,20220919,Ekonomi Pembangunan,5,70.0
TR051,Business Development Intern,CV Karya Abadi,4,20221029,Ekonomi Pembangunan,4,70.0
TR052,Environmental Analyst,PT Sejahtera Inovasi,1,20211636,Teknik Sipil,7,70.0
TR052,Environmental Analyst,PT Sejahtera Inovasi,1,20202139,Agroteknologi,9,70.0
TR052,Environmental Analyst,PT Sejahtera Inovasi,1,20213404,Teknik Sipil,7,70.0
TR052,Environmental Analyst,PT Sejahtera Inovasi,1,20203672,Agroteknologi,9,70.0
TR052,Environmental Analyst,PT Sejahtera Inovasi,1,20204038,Teknik Sipil,7,70.0
TR054,HSE Intern,PT Perkasa Indonesia,1,20210265,Teknik Industri,7,70.0
TR054,HSE Intern,PT Perkasa Indonesia,1,20200670,Teknik Mesin,7,70.0
TR054,HSE Intern,PT Perkasa Indonesia,1,20200723,Teknik Mesin,8,70.0
TR054,HSE Intern,PT Perkasa Indonesia,1,20200948,Teknik Industri,7,70.0
TR054,HSE Intern,PT Perkasa Indonesia,1,20201362,Teknik Industri,7,70.0
TR055,Frontend Developer,CV Bina Inovasi,2,20200418,Pendidikan Teknik Informatika,7,92.5
TR055,Frontend Developer,CV Bina Inovasi,2,20202514,Pendidikan Teknik Informatika,9,92.5
TR055,Frontend Developer,CV Bina Inovasi,2,201915019,Pendidikan Teknik Informatika,9,92.5
TR055,Frontend Developer,CV Bina Inovasi,2,202115935,Pendidikan Teknik Informatika,6,92.5
TR055,Frontend Developer,CV Bina Inovasi,2,202122532,Pendidikan Teknik Informatika,6,92.5
TR057,Operations Intern,PT Global Sejahtera,1,20210265,Teknik Industri,7,70.0
TR057,Operations Intern,PT Global Sejahtera,1,20210885,Manajemen,6,70.0
TR057,Operations Intern,PT Global Sejahtera,1,20200948,Teknik Industri,7,70.0
TR057,Operations Intern,PT Global Sejahtera,1,20211235,Manajemen,6,70.0
TR057,Operations Intern,PT Global Sejahtera,1,20201362,Teknik Industri,7,70.0
TR060,NOC Technician,PT Andalas Kreatif,1,20210378,Informatika,6,70.0
TR060,NOC Technician,PT Andalas Kreatif,1,20200673,Teknik Elektro,7,70.0
TR060,NOC Technician,PT Andalas Kreatif,1,20210698,Teknik Elektro,6,70.0
TR060,NOC Technician,PT Andalas Kreatif,1,20210709,Informatika,6,70.0
TR060,NOC Technician,PT Andalas Kreatif,1,20190729,Teknik Elektro,9,70.0
TR061,Digital Marketing Intern,CV Sentosa Karya,1,20200161,Desain Komunikasi Visual,8,70.0
TR061,Digital Marketing Intern,CV Sentosa Karya,1,20212238,Desain Komunikasi Visual,7,70.0
TR061,Digital Marketing Intern,CV Sentosa Karya,1,20193177,Desain Komunikasi Visual,9,70.0
TR061,Digital Marketing Intern,CV Sentosa Karya,1,20203749,Manajemen,7,70.0
TR061,Digital Marketing Intern,CV Sentosa Karya,1,20204310,Desain Komunikasi Visual,7,70.0
TR063,Content Writer,PT Graha Bangsa,2,20200737,Ilmu Komunikasi,8,70.0
TR063,Content Writer,PT Graha Bangsa,2,20201384,Sastra Inggris,7,70.0
TR063,Content Writer,PT Graha Bangsa,2,20201719,Ilmu Komunikasi,7,70.0
TR063,Content Writer,PT Graha Bangsa,2,20201920,Sastra Inggris,8,70.0
TR063,Content Writer,PT Graha Bangsa,2,20211980,Sastra Inggris,6,70.0
TR064,Customer Service Intern,PT Solusi Bangsa,2,20210218,Psikologi,5,70.0
TR064,Customer Service Intern,PT Solusi Bangsa,2,20210487,Psikologi,5,70.0
TR064,Customer Service Intern,PT Solusi Bangsa,2,20210611,Psikologi,5,70.0
TR064,Customer Service Intern,PT Solusi Bangsa,2,20220631,Ilmu Komunikasi,5,70.0
TR064,Customer Service Intern,PT Solusi Bangsa,2,20221136,Ilmu Komunikasi,5,70.0
TR065,Content Writer,PT Makmur Abadi,1,20210229,Sastra Inggris,6,70.0
TR065,Content Writer,PT Makmur Abadi,1,20200679,Sastra Inggris,9,70.0
TR065,Content Writer,PT Makmur Abadi,1,20210814,Sastra Inggris,6,70.0
TR065,Content Writer,PT Makmur Abadi,1,20191461,Ilmu Komunikasi,11,70.0
TR065,Content Writer,PT Makmur Abadi,1,20201583,Ilmu Komunikasi,9,70.0
TR066,Project Coordinator Intern,CV Solusi Nusantara,1,20211636,Teknik Sipil,7,70.0
TR066,Project Coordinator Intern,CV Solusi Nusantara,1,20213216,Manajemen,7,70.0
TR066,Project Coordinator Intern,CV Solusi Nusantara,1,20213404,Teknik Sipil,7,70.0
TR066,Project Coordinator Intern,CV Solusi Nusantara,1,20203952,Manajemen,9,70.0
TR066,Project Coordinator Intern,CV Solusi Nusantara,1,20204038,Teknik Sipil,7,70.0
TR067,Research Assistant,CV Andalas Karya,5,20210026,Psikologi,6,70.0
TR067,Research Assistant,CV Andalas Karya,5,20210272,Farmasi,6,70.0
TR067,Research Assistant,CV Andalas Karya,5,20220356,Psikologi,5,70.0
TR067,Research Assistant,CV Andalas Karya,5,20211737,Psikologi,7,70.0
TR067,Research Assistant,CV Andalas Karya,5,20221891,Psikologi,5,70.0
TR068,Marketing Staff,PT Esa Mandiri,4,20220631,Ilmu Komunikasi,5,70.0
TR068,Marketing Staff,PT Esa Mandiri,4,20210885,Manajemen,6,70.0
TR068,Marketing Staff,PT Esa Mandiri,4,20221136,Ilmu Komunikasi,5,70.0
TR068,Marketing Staff,PT Esa Mandiri,4,20211235,Manajemen,6,70.0
TR068,Marketing Staff,PT Esa Mandiri,4,20191461,Ilmu Komunikasi,11,70.0
TR069,Operations Intern,PT Solusi Bersama,2,20200420,Teknik Industri,7,70.0
TR069,Operations Intern,PT Solusi Bersama,2,20200432,Teknik Industri,8,70.0
TR069,Operations Intern,PT Solusi Bersama,2,20193490,Teknik Industri,11,70.0
TR069,Operations Intern,PT Solusi Bersama,2,20203749,Manajemen,7,70.0
TR069,Operations Intern,PT Solusi Bersama,2,20206493,Teknik Industri,8,70.0
TR070,Production Planning Intern,PT Sejahtera Bersama,1,20190139,Teknik Industri,11,70.0
TR070,Production Planning Intern,PT Sejahtera Bersama,1,20190191,Manajemen,11,70.0
TR070,Production Planning Intern,PT Sejahtera Bersama,1,20200206,Manajemen,9,70.0
TR070,Production Planning Intern,PT Sejahtera Bersama,1,20210313,Teknik Industri,6,70.0
TR070,Production Planning Intern,PT Sejahtera Bersama,1,20210344,Manajemen,6,70.0
TR071,Store Supervisor Intern,PT Daya Global,1,20210885,Manajemen,6,70.0
TR071,Store Supervisor Intern,PT Daya Global,1,20211235,Manajemen,6,70.0
TR071,Store Supervisor Intern,PT Daya Global,1,20211884,Manajemen,6,70.0
TR071,Store Supervisor Intern,PT Daya Global,1,20223034,Manajemen,5,70.0
TR071,Store Supervisor Intern,PT Daya Global,1,20213216,Manajemen,7,70.0
TR072,Marketing Intern,CV Mandiri Pratama,1,20220631,Ilmu Komunikasi,5,70.0
TR072,Marketing Intern,CV Mandiri Pratama,1,20210885,Manajemen,6,70.0
TR072,Marketing Intern,CV Mandiri Pratama,1,20221136,Ilmu Komunikasi,5,70.0
TR072,Marketing Intern,CV Mandiri Pratama,1,20211235,Manajemen,6,70.0
TR072,Marketing Intern,CV Mandiri Pratama,1,20191461,Ilmu Komunikasi,11,70.0
TR073,Data Engineer,PT Cipta Nusantara,5,20200739,Informatika,9,100.0
TR073,Data Engineer,PT Cipta Nusantara,5,20204850,Informatika,9,100.0
TR073,Data Engineer,PT Cipta Nusantara,5,20195167,Sistem Informasi,11,100.0
TR073,Data Engineer,PT Cipta Nusantara,5,20208606,Sistem Informasi,8,100.0
TR073,Data Engineer,PT Cipta Nusantara,5,202015865,Sistem Informasi,8,100.0
TR074,Data Entry Operator,PT Techno Media,3,20210120,Akuntansi,7,70.0
TR074,Data Entry Operator,PT Techno Media,3,20213273,Akuntansi,6,70.0
TR074,Data Entry Operator,PT Techno Media,3,20203749,Manajemen,7,70.0
TR074,Data Entry Operator,PT Techno Media,3,20204124,Akuntansi,9,70.0
TR074,Data Entry Operator,PT Techno Media,3,20195803,Akuntansi,11,70.0
TR075,Digital Marketing Intern,PT Abadi Systems,3,20220381,Ilmu Komunikasi,5,70.0
TR075,Digital Marketing Intern,PT Abadi Systems,3,20200737,Ilmu Komunikasi,8,70.0
TR075,Digital Marketing Intern,PT Abadi Systems,3,20211268,Ilmu Komunikasi,5,70.0
TR075,Digital Marketing Intern,PT Abadi Systems,3,20201719,Ilmu Komunikasi,7,70.0
TR075,Digital Marketing Intern,PT Abadi Systems,3,20212600,Desain Komunikasi Visual,6,70.0
TR076,Data Analyst,PT Perkasa Nusantara,1,20202592,Sistem Informasi,8,88.0
TR076,Data Analyst,PT Perkasa Nusantara,1,20195167,Sistem Informasi,11,88.0
TR076,Data Analyst,PT Perkasa Nusantara,1,20208606,Sistem Informasi,8,88.0
TR076,Data Analyst,PT Perkasa Nusantara,1,201911800,Sistem Informasi,9,88.0
TR076,Data Analyst,PT Perkasa Nusantara,1,202112969,Sistem Informasi,6,88.0
TR077,IT Support,CV Prima Solusi,1,20210338,Pendidikan Teknik Informatika,6,70.0
TR077,IT Support,CV Prima Solusi,1,20220346,Teknik Elektro,5,70.0
TR077,IT Support,CV Prima Solusi,1,20210383,Teknik Elektro,5,70.0
TR077,IT Support,CV Prima Solusi,1,20200418,Pendidikan Teknik Informatika,7,70.0
TR077,IT Support,CV Prima Solusi,1,20200472,Pendidikan Teknik Informatika,7,70.0
TR078,Data Analyst,PT Makmur Data,4,20203095,Ekonomi Pembangunan,9,88.0
TR078,Data Analyst,PT Makmur Data,4,20213594,Ekonomi Pembangunan,6,88.0
TR078,Data Analyst,PT Makmur Data,4,20204251,Ekonomi Pembangunan,7,88.0
TR078,Data Analyst,PT Makmur Data,4,202111796,Ekonomi Pembangunan,6,88.0
TR078,Data Analyst,PT Makmur Data,4,202115550,Ekonomi Pembangunan,6,88.0
